brand,os,price,ram,storage,battery,camera_mp,promo,sentiment,quarter,sales_volume,revenue
Apple,iOS,837.55,3,32,3711,8,0,-0.555327218819016,2,2941,2463928.0930043817
Xiaomi,Android,220.35,6,256,4981,8,0,2.8140838632647833,4,2825,622700.6871489575
Xiaomi,Android,100.0,6,128,4428,12,1,0.2627492251471385,2,2475,247547.88625599377
OnePlus,Android,371.18,12,128,4448,48,1,-0.10348826806596086,4,2072,769393.6065892641
Samsung,Android,100.0,6,128,4285,16,0,-1.7567217824785826,1,3027,302739.89322924893
Samsung,Android,559.15,4,64,3457,16,1,0.582655241987707,3,2960,1655353.1026479176
OnePlus,Android,715.05,8,128,3820,48,0,-0.6974238233002769,1,1435,1026648.9478616583
Xiaomi,Android,111.87,6,32,4554,8,1,-0.06695317289820084,3,2454,274631.0151267248
Apple,iOS,1500.0,8,128,5002,108,0,-1.2165601493811278,1,3284,4926859.409529102
Apple,iOS,1439.15,6,64,4698,64,1,1.6162096816512073,3,3096,4456622.160954426
Apple,iOS,1175.76,3,32,5328,48,0,-0.5709436615217945,1,3139,3690959.7940312345
Xiaomi,Android,196.88,4,64,4330,12,0,0.9998242469102946,2,2250,443117.72856808937
Xiaomi,Android,100.0,12,128,3958,48,0,1.3289605904369892,1,2840,284043.0036210856
Xiaomi,Android,615.53,6,64,4195,48,0,1.309550684860527,3,2208,1359698.688560594
Samsung,Android,100.0,4,256,3738,64,0,-2.310103436632644,1,2989,298911.72248045343
OnePlus,Android,437.19,12,128,3341,8,1,0.5300647056014667,3,1715,750013.7877154158
Samsung,Android,546.16,12,128,3357,8,0,0.829519042024073,4,2618,1430088.5344471922
Xiaomi,Android,100.0,3,128,5420,64,0,1.3276861322676916,4,2795,279547.05131407705
Apple,iOS,854.23,8,128,3312,64,0,-1.4805365125650163,1,3138,2680785.3907746733
Apple,iOS,1275.01,12,128,4273,48,0,-0.1310866506877266,1,2944,3753812.3628784055
Samsung,Android,139.83,12,64,3432,64,0,0.32866200228248105,2,3313,463366.2218924114
Apple,iOS,740.03,6,128,3643,108,0,-0.13113753020334493,3,3546,2624604.5671559596
OnePlus,Android,268.5,4,64,4185,16,0,-0.0258628479538564,4,1491,400502.1845304833
Samsung,Android,100.0,4,32,3746,48,0,-0.9620911163416273,2,2947,294726.62894280144
Xiaomi,Android,187.07,4,128,4755,48,0,0.006339062362268442,3,2588,484235.36649401026
Samsung,Android,327.46,12,128,4833,64,0,-0.8515371891857679,3,3267,1069980.2185606959
OnePlus,Android,173.67,4,64,5104,16,1,-0.3356073681186462,2,1749,303792.22548531566
OnePlus,Android,488.72,6,64,4270,108,1,0.4348842714636474,2,2140,1046061.8827022783
OnePlus,Android,170.71,6,32,4719,12,0,0.668326018107997,3,1805,308264.8462789252
Apple,iOS,1500.0,6,128,5004,12,0,-0.4425357118921839,4,2917,4376666.658048693
OnePlus,Android,667.26,4,64,4888,108,0,-1.5657590721805144,1,1775,1184387.0970964297
Samsung,Android,100.0,3,64,5101,48,0,-0.25337756894801494,4,3063,306351.2634414593
Xiaomi,Android,291.37,4,128,3145,48,1,2.0350733027310675,2,2623,764514.0102451968
Xiaomi,Android,100.0,4,64,5119,12,0,0.3342951284977145,3,2455,245572.8962280102
Samsung,Android,521.82,2,256,3443,16,0,-1.4481272594150476,3,2585,1349011.2303951597
Apple,iOS,480.14,6,256,5006,48,1,0.36345433783907316,3,3525,1692842.6430922693
Samsung,Android,100.0,3,128,5408,16,0,0.23544836830993032,2,2884,288433.4987161506
OnePlus,Android,735.68,8,64,3011,8,1,-0.520588412855411,1,1520,1118594.2509293172
OnePlus,Android,387.44,8,32,4162,48,1,0.5411316108045314,2,2010,778893.6940331261
OnePlus,Android,393.48,3,128,4906,64,1,-1.2826346502605217,3,2045,804702.3238726906
Samsung,Android,735.35,8,32,3122,48,0,0.47113629339992935,4,2642,1943478.0537316403
Samsung,Android,100.0,8,64,4949,16,0,-0.31048397619594376,4,2972,297275.35062061355
Xiaomi,Android,265.91,4,128,5216,64,1,0.17196033243705985,4,2847,757063.1714047836
Samsung,Android,100.0,6,256,3548,12,0,-1.1037406977820072,2,2916,291633.88817911793
Xiaomi,Android,185.48,4,64,3044,108,1,-0.9024230947925126,4,2810,521267.1832628067
Samsung,Android,100.0,12,128,5459,48,0,-0.713874824036484,3,3172,317252.32376923517
Samsung,Android,1014.78,6,128,3806,64,0,0.6250852012481537,4,2656,2695594.0262951027
OnePlus,Android,116.44,8,64,3427,12,0,-0.42477372779309125,3,1646,191737.94460236537
OnePlus,Android,100.0,3,32,4082,12,0,-0.9151561158459262,2,1659,165973.87833737303
Xiaomi,Android,100.0,6,32,5244,12,0,-0.22153611573080054,3,2524,252407.16632844077
Apple,iOS,1227.44,8,32,3004,48,0,-1.5634779478686884,2,2789,3423841.076284051
Samsung,Android,271.15,4,64,5285,48,0,0.2825869829192965,2,3135,850257.3497312836
Samsung,Android,434.34,4,32,3121,12,1,0.15811908490510918,4,2839,1233335.1971597937
Apple,iOS,144.06,6,64,3222,48,1,0.09903482100720092,3,3740,538813.0449245892
Xiaomi,Android,100.0,8,64,4547,108,0,2.0487556508632867,4,3152,315274.26508987066
OnePlus,Android,478.01,8,128,3741,16,0,0.6369062833722101,1,1605,767208.7287851945
Xiaomi,Android,100.0,8,128,3866,64,0,0.2552134168558746,1,2694,269456.59889029764
Xiaomi,Android,100.0,4,128,3303,8,0,1.79756116664464,4,2443,244359.93911835732
Samsung,Android,313.26,6,128,3317,16,0,-1.2503155389231464,1,2715,850723.6355028437
Samsung,Android,263.19,6,64,5118,16,0,-1.0836988273580606,4,2892,761284.6799441965
OnePlus,Android,543.33,8,256,4694,16,0,-0.2020832453894041,1,1680,913290.9438032113
OnePlus,Android,100.0,8,64,3400,12,1,-0.4812411238654122,3,1961,196171.56377983757
OnePlus,Android,100.0,6,128,5147,64,0,-0.11761085542512094,1,1795,179553.601391845
Xiaomi,Android,462.29,3,256,4748,64,0,1.4274852836845047,4,2806,1297534.669617
Samsung,Android,310.67,8,256,3057,16,0,3.1788536793675353,3,2906,902995.6882022148
Xiaomi,Android,100.0,6,64,3845,16,0,0.3365831266054347,2,2425,242582.5746073887
Apple,iOS,1211.07,4,32,3848,64,1,-0.6935061645722808,2,3026,3665141.881579673
Apple,iOS,710.09,6,64,3319,48,1,0.06300236833469973,1,3182,2260090.152299974
OnePlus,Android,191.08,8,256,3276,108,1,-1.1111049009175582,2,2195,419443.8400268472
OnePlus,Android,581.99,6,32,5041,48,0,-0.4083886272547264,4,1672,973398.125956489
Samsung,Android,100.0,8,64,3400,16,0,0.10255318372626686,1,3025,302595.52699012397
OnePlus,Android,799.41,8,64,3962,64,0,0.39703330001549114,2,1683,1346134.0493691806
Apple,iOS,1360.79,8,256,3613,16,0,1.3634287120856987,2,2885,3926265.981929281
Apple,iOS,495.4,8,128,3821,48,0,0.4137923171902139,3,3395,1682302.6508007585
Samsung,Android,434.5,6,256,3329,12,0,-1.150864509185567,1,2760,1199271.9010319135
Samsung,Android,363.48,4,128,3179,16,0,0.33584125693302364,2,2383,866503.7213557927
Apple,iOS,100.0,6,64,5045,108,0,-0.7121020418789388,4,3862,386249.1884748785
Samsung,Android,299.42,8,64,3526,16,0,-0.03561073619009093,4,2636,789471.3981531312
Samsung,Android,577.31,3,64,3702,48,0,0.6168141996897798,3,2640,1524223.1332242878
Samsung,Android,176.3,6,64,4534,16,0,0.7355830924283736,4,2971,523866.7119955068
Xiaomi,Android,216.21,8,256,3100,48,0,0.8705556094197265,2,2752,595190.606790022
OnePlus,Android,220.74,6,128,4473,108,0,-0.059282646025932216,3,2085,460246.2709556414
Xiaomi,Android,150.6,3,128,4020,48,0,0.37884260345839443,4,2653,399669.7551327993
Samsung,Android,100.0,4,128,3430,16,0,0.6197019654824789,1,2881,288197.26343933947
OnePlus,Android,414.3,8,256,5275,48,0,-0.00463297222434532,1,2066,856313.920505116
Samsung,Android,149.89,2,64,4752,48,0,0.8056786392425009,4,3120,467703.7359838183
Samsung,Android,509.57,6,64,3805,12,1,0.54259446329196,2,2908,1482132.981438917
OnePlus,Android,195.58,8,64,4565,12,0,0.41117191801596314,2,1743,340918.9753038341
Samsung,Android,736.22,8,256,4464,12,0,-1.0719625522902192,2,2817,2074070.1613258577
OnePlus,Android,197.5,3,64,4126,12,0,1.3190131977413961,4,1912,377757.36959381297
OnePlus,Android,315.0,3,128,5332,16,1,-0.4083331628266692,2,1704,537051.0823325239
Apple,iOS,1204.85,6,128,3609,48,0,-0.6560549366409674,3,3072,3701656.6234115246
Apple,iOS,1130.79,12,64,3237,48,0,0.5983470470748828,2,2990,3381622.1188108483
Xiaomi,Android,100.0,8,64,3986,64,1,-1.1522488412767675,2,2778,277894.38382291276
Samsung,Android,640.1,4,128,3359,8,0,0.003108550185636745,1,2476,1585166.9718705935
Samsung,Android,218.95,8,64,3065,64,1,-0.26307342445635284,1,3127,684729.7283291247
Apple,iOS,823.03,8,64,3231,64,0,0.0037962516214591325,3,2991,2462349.980489942
Samsung,Android,137.05,8,64,4899,12,0,1.030195403152731,1,3043,417079.25390221714
Xiaomi,Android,100.0,6,64,5475,64,1,-2.4508721285400865,2,2728,272824.93509355583
Apple,iOS,730.48,4,128,3016,48,1,1.8017419477471466,3,3369,2461181.011044103
Xiaomi,Android,100.0,4,64,3123,64,1,-0.7619744583102578,1,2692,269282.22368628805
Samsung,Android,100.0,6,128,5110,8,0,-0.31619770458118795,1,3005,300572.64889773173
OnePlus,Android,658.47,6,256,3429,8,0,1.960484600783027,2,1407,926495.6524052634
Apple,iOS,1500.0,3,64,3261,12,0,-0.6505636204055921,2,2428,3642225.859210904
Samsung,Android,984.49,4,128,3901,12,1,-0.713553981370355,3,2428,2390711.990801593
Apple,iOS,100.0,6,64,3497,64,1,0.4109825769008753,4,3870,387050.50114165596
Samsung,Android,518.61,12,128,3110,64,0,-1.122768432270995,2,2928,1518608.8978228814
Samsung,Android,100.0,3,64,3542,12,1,-1.001291432756544,1,3074,307449.40493159747
Xiaomi,Android,163.6,12,256,4021,16,0,0.9672992358427723,4,2536,415042.35688676086
Xiaomi,Android,100.0,4,64,3176,8,0,0.9993363324744892,2,2279,227930.8157919502
OnePlus,Android,236.78,4,128,3536,108,0,0.5935546949055667,4,2193,519462.1691116699
Apple,iOS,725.03,12,128,5447,8,0,0.3636981503429628,1,3322,2408948.349700707
Samsung,Android,100.0,6,32,4858,64,0,-0.023233710850366202,4,3273,327305.8276437068
Samsung,Android,168.28,8,64,3537,108,1,-0.661416892306816,3,3352,564212.0490691866
OnePlus,Android,100.0,8,64,4485,48,1,-0.9964186260023896,4,1802,180287.96406270235
Samsung,Android,100.0,8,128,3172,16,1,-0.20294194367537022,2,3098,309865.73397784925
Xiaomi,Android,100.0,8,64,4159,48,0,0.9674662729250108,4,2487,248738.35572283782
Xiaomi,Android,298.41,4,32,4280,16,1,1.8594948076233115,4,2594,774251.7334663898
Xiaomi,Android,107.24,6,64,4629,8,0,-1.0323970195548475,2,2382,255480.50084977638
OnePlus,Android,494.25,12,32,3777,64,0,0.7218651477772327,4,2033,1005283.1479405742
OnePlus,Android,114.77,6,64,3389,16,0,-1.7332091032089831,2,1488,170882.18981323118
Samsung,Android,100.0,3,256,3318,64,1,0.4048550876357089,3,3149,314951.56296685286
Xiaomi,Android,261.22,6,256,3317,108,1,-2.8670549537827434,2,2829,739049.1253753995
Samsung,Android,328.25,3,32,4420,16,1,1.477393634170035,4,2953,969496.4479259957
Samsung,Android,858.7,4,128,3393,108,1,1.1825307417526572,3,3132,2690010.58215171
Apple,iOS,670.56,4,128,3910,48,0,0.513199811077181,4,3223,2161548.9444368035
OnePlus,Android,586.25,4,32,4544,12,0,0.9711390068229115,4,1444,846609.0432082615
Samsung,Android,417.16,4,128,3435,16,0,0.6546595284477861,3,2766,1153947.0879538858
Xiaomi,Android,100.0,6,128,5341,48,0,-2.95561882434507,1,2672,267240.31239230634
Samsung,Android,408.18,6,64,4799,8,1,1.5164401005894037,3,3012,1229829.3033275525
Samsung,Android,452.97,6,128,4188,16,0,2.2995890930373193,4,3049,1381478.332882158
Xiaomi,Android,342.59,12,64,4497,64,0,-1.2863933350836971,2,2470,846222.5440258309
Xiaomi,Android,171.9,4,128,3538,64,1,-0.1627989966326071,3,2577,443150.25990954594
Apple,iOS,717.68,4,64,3820,64,1,0.777609530278536,3,3413,2449519.316772026
OnePlus,Android,337.56,4,64,3894,12,0,-1.0717013268617444,1,1328,448499.9507242049
Apple,iOS,1050.64,8,128,3515,64,0,1.3251467288748389,2,3269,3435028.858520517
Apple,iOS,1132.74,4,128,4168,16,0,0.0679131691693355,1,2967,3361266.7943526595
Samsung,Android,100.0,8,256,3912,48,1,-1.268013916843997,2,3030,303083.1702194743
Samsung,Android,172.66,6,32,5224,8,0,0.6172815804922585,2,2973,513472.3806367701
Samsung,Android,100.0,3,64,3491,64,1,1.5163686467253361,4,3260,326082.84500361816
Apple,iOS,1010.58,4,128,3785,108,0,-0.8032400919517051,3,3356,3392109.388389349
Samsung,Android,100.0,12,64,3148,48,0,0.7715332597619193,4,3196,319628.87940871203
OnePlus,Android,287.31,8,128,3661,12,0,-1.163473799792271,3,1621,465803.9453178166
Samsung,Android,307.54,8,128,4447,64,0,0.029423575584972723,2,3239,996203.6684509283
Samsung,Android,656.89,6,128,5485,8,0,-1.6209135183081516,1,2757,1811225.2834026192
Samsung,Android,163.34,6,256,4316,48,1,0.4525384189795919,3,3392,554159.5771013191
Apple,iOS,1500.0,8,128,5308,8,0,-1.4217636493445729,1,2909,4364285.890679246
Apple,iOS,1137.1,8,256,4347,16,0,-0.04257862104444418,4,3039,3456657.469727224
Apple,iOS,1148.33,4,128,5359,16,0,0.57740257751925,4,3090,3549240.1305742897
Xiaomi,Android,188.48,8,128,3181,8,1,-1.2198757448415216,1,2343,441766.8941350045
Xiaomi,Android,206.61,12,128,4899,16,1,-0.20378186112454774,4,2810,580731.0180211908
Xiaomi,Android,100.0,3,64,3771,48,0,-0.17865516901389017,3,2380,238075.3385434739
OnePlus,Android,393.01,8,128,5282,12,1,-1.7598157076954657,1,1840,723365.1420331213
Xiaomi,Android,100.0,6,64,3177,8,0,0.001999356415087233,4,2287,228799.55545601703
Xiaomi,Android,100.0,8,64,4969,64,0,0.9885318628514624,2,2735,273572.50833724753
Xiaomi,Android,100.0,8,128,4513,8,0,-0.5383162028615798,2,2463,246317.8945942109
OnePlus,Android,107.38,8,64,3991,64,1,0.17842519752410255,2,2207,237033.35340079726
Apple,iOS,682.64,4,64,4019,108,1,0.14141947334054417,1,3487,2380448.180380841
OnePlus,Android,129.08,6,64,4329,64,1,-2.2757364037217522,4,2015,260135.37529635124
Xiaomi,Android,175.32,12,64,5069,12,0,-1.3976861631184037,1,2415,423411.26748585276
Apple,iOS,1426.1,3,128,5474,48,1,0.03752323233959842,2,3197,4559442.743840463
OnePlus,Android,100.0,6,64,3419,12,1,0.11135042939811132,2,1770,177060.4203363224
OnePlus,Android,100.0,8,256,3615,8,1,-0.49174741973013475,4,1837,183746.16228621537
Apple,iOS,611.16,4,128,3621,48,0,2.2676442038992546,2,3250,1986772.493447616
OnePlus,Android,100.0,8,32,3337,16,0,-1.216718418386407,4,1487,148708.87253389283
Apple,iOS,1500.0,4,128,4159,64,0,1.7060917581276394,3,3127,4690731.98398001
Xiaomi,Android,192.13,6,128,5319,8,0,-2.4363756632473224,3,2406,462424.81032065547
OnePlus,Android,545.78,6,64,4064,8,0,0.27384239830845625,1,1409,769071.0313966719
Xiaomi,Android,100.0,4,256,4833,12,0,0.4424546049697111,2,2482,248245.78374116853
Xiaomi,Android,100.0,12,128,3391,64,1,-1.9738338698589637,4,2841,284178.8691039404
Samsung,Android,161.36,12,256,3626,48,0,-2.107689387614403,2,3206,517440.33593364654
OnePlus,Android,100.0,4,64,3603,108,1,0.7472720511434552,4,2305,230540.46097009885
Apple,iOS,1093.49,6,128,3802,48,0,1.4782789357160593,4,3072,3359891.6285794936
Samsung,Android,563.69,8,64,3140,64,0,-0.3845501100179167,1,2891,1629654.7131991456
Apple,iOS,1007.93,4,32,3442,8,0,-0.16865175340045263,1,2807,2829404.4298670474
OnePlus,Android,424.83,6,32,4129,64,0,-0.20903225602742,4,1813,770595.4718574174
Samsung,Android,561.58,8,128,4373,48,1,-1.8283953114415024,3,3209,1802662.424624327
Samsung,Android,100.0,2,64,4205,8,0,0.2667361679766415,3,2689,268948.08354553604
Xiaomi,Android,258.57,3,64,4941,48,0,-0.26641353407517704,4,2328,602056.0355301516
Apple,iOS,1111.41,4,128,4418,12,1,-0.13002606149848983,4,3145,3495941.5919356444
Xiaomi,Android,179.46,12,256,5379,108,0,0.5518587715312919,1,3302,592733.6729564128
OnePlus,Android,100.0,6,64,4656,8,1,-1.9215045305486382,3,1924,192442.38835687697
Xiaomi,Android,100.0,8,64,4274,12,0,-0.4035921185193341,3,2538,253857.13909199703
OnePlus,Android,677.79,6,256,4963,48,1,0.09482685973037566,1,1827,1238569.3924676026
Xiaomi,Android,100.0,8,64,5468,8,0,0.05641156716957076,1,2353,235398.0748724249
Samsung,Android,364.59,8,64,5002,48,0,0.16432065938191598,4,2994,1091610.9383228512
Samsung,Android,100.0,2,64,3354,12,0,0.796544030519997,3,2726,272655.74727434065
Xiaomi,Android,489.32,6,128,4899,8,0,0.48866852446730713,1,2310,1130683.8044604915
OnePlus,Android,182.78,6,32,5025,48,0,-0.8062818206846841,3,1885,344704.85892783833
Apple,iOS,1154.48,2,128,3617,16,1,-0.09154001941820787,4,2910,3360471.101391236
OnePlus,Android,100.0,6,64,5452,16,1,-0.09419457535083331,1,2141,214136.8682667846
Samsung,Android,100.0,12,64,3046,8,1,0.15929778382964058,1,3071,307175.6581681079
Apple,iOS,1171.53,12,128,3226,108,0,-0.06979878576213788,3,3230,3784234.368709224
OnePlus,Android,100.0,6,128,5279,12,0,-0.3969138412377916,4,1813,181342.91232867248
Xiaomi,Android,349.31,8,64,3500,16,0,1.9164448767354103,2,2205,770318.67113516
Samsung,Android,498.13,4,256,4073,8,0,1.1589495823768998,2,3049,1519267.5567780172
Xiaomi,Android,266.62,12,128,4867,64,1,-1.4470045764150157,2,2932,781821.3186133667
Samsung,Android,207.29,4,128,3869,108,0,-0.3421528907320472,1,3109,644569.012013761
OnePlus,Android,265.07,4,64,3600,16,0,-0.9151246594795012,2,1512,400889.9317676799
Apple,iOS,361.62,8,256,3877,48,0,-0.6293444843345044,4,3550,1283819.5589607756
Apple,iOS,1193.72,8,64,4911,64,1,0.8708227703666389,1,3268,3902235.9650492114
OnePlus,Android,318.44,3,128,3333,64,1,1.4008818603129667,1,1883,599752.4384955114
Samsung,Android,417.14,2,64,3244,16,0,-0.2592092593150832,1,2565,1070215.661727904
OnePlus,Android,456.01,4,128,3129,16,0,0.19318157981319836,2,1639,747495.4744817861
Xiaomi,Android,363.69,4,256,4414,64,1,-0.798805744892982,1,2772,1008339.7246992108
Apple,iOS,1294.94,8,128,3791,108,0,0.39423764944203077,2,3243,4200005.195177492
Samsung,Android,580.97,3,128,3147,16,0,-0.8467440928840201,2,2508,1457253.2126667905
OnePlus,Android,338.68,6,128,4227,12,0,1.3011583486520308,2,1725,584473.0801498422
OnePlus,Android,1000.04,12,256,5305,16,0,-1.0775832476037126,3,1402,1402996.4027013262
Samsung,Android,315.51,8,32,4477,48,0,0.23443111648209775,1,2831,893339.3722175693
OnePlus,Android,254.62,3,64,5374,16,0,0.7260983614463344,4,1618,412101.3158013891
Apple,iOS,917.18,6,64,4741,48,0,-0.8133904123466764,2,3112,2855066.779320226
OnePlus,Android,411.28,12,128,4929,108,1,0.6108449164108543,3,2540,1044992.0888615312
Samsung,Android,687.51,3,128,3075,64,0,-0.6492629196101362,1,2526,1737140.290643579
Xiaomi,Android,167.2,8,256,4572,8,0,0.579281971320933,1,2558,427743.3716115274
OnePlus,Android,100.0,4,128,3773,8,1,-0.09019241337738836,1,1716,171653.97286868014
Samsung,Android,100.0,6,64,3730,16,0,-1.582167016126918,3,2770,277042.12055087276
Apple,iOS,1443.98,12,128,3527,48,0,-1.1824505722064373,2,2948,4257990.169418696
Xiaomi,Android,260.18,12,32,4077,16,0,0.47761072975677044,1,2498,650028.5330392518
Samsung,Android,100.0,12,32,5382,16,0,0.12686697629584257,1,2824,282416.53621835524
Samsung,Android,136.04,6,128,3522,16,1,0.2769586752193653,3,3098,421492.6036378353
Samsung,Android,983.23,6,32,3812,8,1,-0.42660498305909955,1,2660,2616126.5541185145
Apple,iOS,1500.0,8,32,3165,8,0,-0.890020749763603,3,2494,3741793.5227092593
Apple,iOS,1072.37,8,64,3070,108,0,0.826407309893258,3,3372,3616087.2288525407
Samsung,Android,448.84,8,64,4194,16,0,-0.270396942095442,2,2879,1292307.1501310198
Samsung,Android,303.51,6,64,5015,48,0,0.999674019871989,4,3001,911004.6388522291
Apple,iOS,1021.69,2,32,3593,64,1,0.8345255473690577,2,3350,3423235.815899861
Xiaomi,Android,111.99,6,32,3765,108,0,-0.6917697430023131,3,2912,326115.8757557634
Samsung,Android,486.48,8,256,4388,64,0,0.15008113034502407,3,3231,1572299.9223164858
Samsung,Android,771.0,12,64,3492,48,0,1.1193971619983802,3,2792,2153317.915062085
Apple,iOS,1268.16,3,64,3168,64,0,-0.35469730295967755,4,2927,3712442.269081874
Xiaomi,Android,158.53,8,128,5229,48,0,0.6840379131173813,3,2680,424918.445409915
Apple,iOS,1211.99,6,128,4468,108,0,-1.659887881419688,3,3193,3869968.3590902323
Xiaomi,Android,100.0,6,128,4892,48,1,0.28117316564347944,3,2807,280750.2937622543
OnePlus,Android,100.0,3,64,4561,48,1,-0.5357148727694001,2,2168,216888.2015578596
Apple,iOS,105.37,8,128,3949,48,0,0.6162353965533128,3,3404,358712.79688563995
Apple,iOS,768.99,6,32,4808,12,0,2.106884733278146,4,3195,2457668.594555278
OnePlus,Android,100.0,4,128,5138,64,1,-0.9831019276582751,2,2206,220628.6340042462
Apple,iOS,839.46,8,128,3127,48,0,0.819343097059747,3,3160,2652958.1210235315
Samsung,Android,530.69,8,64,5112,108,1,-0.4105339880150149,1,3466,1839523.3909024273
OnePlus,Android,100.0,3,64,4156,64,0,-1.188880153597605,4,1740,174074.74038219146
Xiaomi,Android,414.5,6,128,3729,12,1,0.5841690733522902,4,2348,973287.9380423801
Samsung,Android,363.51,8,32,4578,108,0,0.21744041530326128,1,3292,1197010.3110138807
Samsung,Android,332.13,6,64,5075,48,0,0.8153160721716332,1,3004,997730.8098033804
Xiaomi,Android,368.13,6,128,3799,108,0,1.2318751342893033,4,2806,1033095.8355069342
Apple,iOS,1370.71,2,128,4537,64,0,0.9052594014939547,3,3006,4121585.815263761
Samsung,Android,364.86,12,32,3103,48,1,1.4359940177677142,2,3024,1103531.2245215573
Xiaomi,Android,506.46,3,256,3952,64,0,0.6823925098127926,1,2477,1254543.399648707
Xiaomi,Android,100.0,6,64,4113,64,1,-0.17496803671417813,4,2737,273755.5850862244
Apple,iOS,496.17,3,64,5341,108,0,-0.32054037833754784,4,3780,1875899.7226979805
Xiaomi,Android,100.0,6,64,4883,48,0,-0.10823333832297323,4,2416,241638.55034158638
OnePlus,Android,148.66,6,64,3941,64,1,0.04605813857711549,4,2226,331041.75676188304
Samsung,Android,100.0,6,128,3570,16,0,2.272991825979389,4,3131,313199.0899443145
Apple,iOS,985.36,6,128,3462,48,0,1.3723423428665182,2,3047,3002418.5475902027
Xiaomi,Android,217.96,8,64,4791,64,1,0.30941283975992473,1,2814,613401.7041680979
Xiaomi,Android,243.96,8,128,3168,108,0,-1.913779734828926,2,2766,675040.7473653879
OnePlus,Android,226.58,6,64,3564,48,1,-0.19649842039810733,3,1792,406071.2954985312
Apple,iOS,121.58,6,64,3712,48,0,-0.007567296631150636,2,3595,437102.1591289522
OnePlus,Android,100.0,8,256,5044,12,0,-0.15513313118059344,4,2041,204126.36254035388
Xiaomi,Android,141.51,6,256,3971,64,1,1.207425028311201,2,2921,413472.48615981604
OnePlus,Android,100.0,6,64,3983,64,1,1.447058696031102,3,2356,235668.8344191386
OnePlus,Android,327.65,12,64,3751,12,1,-0.8268091053930736,1,1799,589733.1321471084
Xiaomi,Android,100.0,6,128,5477,16,0,-0.3473828335985318,2,2502,250207.47600401987
Xiaomi,Android,100.0,8,32,4768,48,0,-0.46438039219544847,2,2668,266810.08035379986
OnePlus,Android,667.54,6,32,3453,64,0,-0.2215961699981027,4,1487,992926.1820010756
Samsung,Android,342.35,6,32,5364,64,1,-1.0320322451615775,1,3263,1117189.993347289
Samsung,Android,586.3,8,128,4993,48,1,0.8572103535566122,3,3296,1932779.7311270612
Samsung,Android,363.26,8,128,5041,12,1,-0.05062811305699102,4,3174,1153200.380084406
Apple,iOS,367.9,6,128,4885,16,0,1.0393690449185533,4,3438,1264884.0401177243
Apple,iOS,1500.0,4,128,3596,48,1,-0.16955071570044408,3,3169,4753872.038486502
Xiaomi,Android,100.0,8,128,3187,48,0,-0.9444228784030915,4,2731,273130.3216653501
